No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Component,Small single-purpose components,Each struct serves one clear role,Split complex UI into parts,Huge 500-line struct,@Component struct Header {},Monolithic struct,High,
2,Component,Use @ComponentV2 for new code,V2 improves state management and lifecycle,@ComponentV2 struct,@Component where unnecessary,@ComponentV2 struct Page {},@Component for new code,Medium,
3,Component,Keep build() pure,build() renders UI only—no variable declarations or side effects,UI composition,Declare variables in build(),build() { Column() { Text() } },build() { let x = 1; },High,
4,Component,Extract complex logic to methods,Business logic belongs outside build(),Private methods for logic,Logic inline in build(),private computeTotal() {},Inline logic in build(),Medium,
5,Component,Use @Builder for reusable UI blocks,@Builder enables component extraction,@Builder for repeated UI,Copy-paste UI code,@Builder ItemRow(item: Item) {},Duplicate code,Medium,
6,Component,Prefer @BuilderParam for custom slots,Pass UI via @BuilderParam,@BuilderParam for slots,Hard-coded children,@BuilderParam content: () => void,Fixed content,Low,
7,Component,Use @Reusable for high-frequency components,@Reusable improves performance,@Reusable for list items,No optimization,@Reusable struct ListItem {},No @Reusable,Medium,
8,Component,Avoid deep nesting,Keep UI hierarchy flat,Extract nested blocks,10+ levels,Flat structure,Deep nesting,Medium,
9,Layout,Use Flex for responsive layouts,Flex adapts to screen size,Flex for adaptive UI,Fixed px widths,Flex({ direction: FlexDirection.Row }),Fixed width: 375,High,
10,Layout,Use RelativeContainer for complex layouts,RelativeContainer handles complex relationships,RelativeContainer for multi-anchor,Stack with absolute positions,RelativeContainer {},Stack + absolute,Medium,
11,Layout,Use Grid for grid-based layouts,Grid handles rows and columns,Grid for card grids,Manual Row+Column,Grid({ rowsTemplate: '1fr 1fr' }),Nested Row+Column,Medium,
12,Layout,Prefer percentage over px for responsive,Percentage scales across devices,Use % for widths,Fixed px values,.width('90%'),.width(350),High,
13,Layout,Use Space for equal distribution,Space distributes children evenly,Space() for even spacing,Manual spacing,Space() in Flex,Manual padding,Low,
14,Layout,Avoid nested scroll containers,Nested scrolling breaks UX,Single Scroll per route,Scroll inside Scroll,One List per page,List inside Scroll,High,
15,Layout,Use List for scrollable content,List virtualizes and performs well,List for long data,Column.verticalScroll,List({ space: 8 }),Column with scroll,High,
16,Layout,Provide item keys in ForEach,Keys stabilize list rendering,keyGenerator: (item) => item.id,No key,ForEach(data (item) => {} item => item.id),ForEach without key,High,
17,State,Lift state up,State should live at lowest common ancestor,Hoist state,Duplicate state,@State in parent,@State in each child,High,
18,State,Use @State for local UI state,@State for component-internal state,@State for toggles,@State for business data,@State isExpanded: boolean,@State user: User,Medium,
19,State,Use @Prop for parent-child data flow,@Prop passes data down,@Prop from parent,Direct mutation,@Prop title: string,Child modifies parent,High,
20,State,Use @Link for two-way binding,@Link synchronizes state,@Link for form inputs,Manual callbacks,@Link inputValue: string,Manual sync,Medium,
21,State,Use @Watch to react to state changes,@Watch for side effects on state change,@Watch('count') onCountChange,Logic in build(),@Watch('count') fetch(),Fetch in build(),Medium,
22,State,Use @Provide/@Consume for deep prop drilling,@Provide/@Consume avoids prop chains,@Provide for shared state,Pass props 5 levels,@Provide theme: Theme,Prop drilling,Medium,
23,State,Avoid @State for large objects,Large objects cause full recomputation,Use @ObjectLink,@State for big objects,@ObjectLink item: Item,@State largeObject,High,
24,State,Use @Observed/@ObjectLink for nested objects,@Observed enables fine-grained updates,@Observed class for data,Plain objects,@Observed class User {},Plain object,High,
